,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,2116.9804242356213
1,FDW14,OUT017,1313.0834024481296
2,NCN55,OUT010,2137.675945798761
3,FDQ58,OUT017,2521.371398513054
4,FDY38,OUT027,5067.405292924055
5,FDH56,OUT046,1949.3116979920264
6,FDL48,OUT018,1251.417919557887
7,FDC48,OUT027,2733.3032944690303
8,FDN33,OUT045,1194.051754299958
9,FDA36,OUT017,2698.3685675910638
10,FDT44,OUT017,1477.3982805506691
11,FDQ56,OUT045,1037.2003371036342
12,NCC54,OUT019,2531.9770341002413
13,FDU11,OUT049,2114.17084763513
14,DRL59,OUT013,646.4627672674894
15,FDM24,OUT049,2590.670220992941
16,FDI57,OUT045,2941.0148358914894
17,DRC12,OUT018,3429.1428863408632
18,NCM42,OUT027,3160.8424505357857
19,FDA46,OUT010,1449.369021270043
20,FDA31,OUT013,2491.706597395763
21,NCJ31,OUT035,3334.5177682504964
22,FDG52,OUT046,749.2754498791076
23,NCL19,OUT019,1281.063319637874
24,FDS10,OUT035,2593.365520531922
25,FDX22,OUT010,1642.636602503595
26,NCF19,OUT035,521.2262394351719
27,NCE06,OUT046,2571.0047340307847
28,DRC27,OUT046,3886.772466926632
29,FDE21,OUT035,1671.3277619659345
30,NCR42,OUT019,-567.4568647753808
31,FDX51,OUT018,3583.964837924958
32,NCR06,OUT018,1133.0669509708007
33,FDU31,OUT027,4922.925129103802
34,FDU59,OUT017,2376.374763362039
35,FDR03,OUT027,4904.88353231681
36,FDS49,OUT027,2654.9714399169457
37,FDD48,OUT010,198.89878886239666
38,NCF18,OUT017,2850.6373452684584
39,NCD43,OUT027,3196.3379865075312
40,NCD54,OUT018,2703.7634688763683
41,FDY19,OUT010,201.80334297354005
42,NCY54,OUT017,2477.1278908826894
43,NCL19,OUT018,2856.4664385027268
44,FDP23,OUT010,2057.1674725944636
45,FDC26,OUT013,1491.886857720068
46,FDR14,OUT010,-1043.894520759603
47,NCS41,OUT035,2632.9234749189354
48,FDF41,OUT035,3556.7678411100496
49,FDU34,OUT046,1931.2314379640588
50,DRH11,OUT046,967.3649289942891
51,FDM03,OUT013,1303.2886202564866
52,FDS31,OUT017,2767.5916311924407
53,FDJ20,OUT017,1797.9304835690423
54,FDV44,OUT027,4394.605077444339
55,FDG02,OUT049,3195.0462633794614
56,FDA09,OUT013,2888.1753657318127
57,FDT04,OUT013,309.717659743709
58,FDL58,OUT019,2967.7337785670043
59,FDE52,OUT045,1251.987304746405
60,FDW12,OUT035,2124.5704803801896
61,FDL51,OUT017,3265.4776486417777
62,NCY42,OUT027,3669.524338651586
63,FDR07,OUT017,1373.5879167269486
64,FDN40,OUT045,2208.3480420825176
65,FDB35,OUT027,2903.5134796415
66,FDA22,OUT017,2278.304771024912
67,NCL06,OUT046,4116.828385048784
68,FDI35,OUT013,2603.442333581949
69,NCW42,OUT045,3361.544473038154
70,NCX06,OUT049,3055.2651565439483
71,FDC37,OUT027,3163.65175250989
72,FDZ14,OUT018,2438.056899340647
73,DRG49,OUT049,4047.355715997445
74,NCG06,OUT045,3709.1279244833167
75,DRC36,OUT045,2549.5401140361428
76,FDV21,OUT019,571.6363805615473
77,FDB53,OUT046,2262.924093111469
78,DRP47,OUT019,2616.232021843575
79,FDA14,OUT013,2053.9530930563697
80,DRC24,OUT035,2137.431018772086
81,FDW21,OUT018,2372.7951802981074
82,NCH29,OUT046,1644.6088500074288
83,FDU58,OUT013,2883.068275899738
84,FDY27,OUT017,2549.286138379421
85,FDV56,OUT035,1511.3657017271855
86,FDT59,OUT046,3799.762236691694
87,FDB23,OUT046,3884.888472914103
88,FDR49,OUT045,519.1547084895084
89,FDB03,OUT010,2072.7738762547174
90,FDN39,OUT045,2498.1329709616857
91,FDX02,OUT027,4867.4529760577025
92,FDQ16,OUT027,3125.15792420972
93,FDU35,OUT018,1986.958631806413
94,NCT29,OUT013,1705.1655194441755
95,FDZ27,OUT046,934.6485603736609
96,FDN57,OUT017,2057.0380273724536
97,FDA03,OUT018,2795.439885042526
98,FDZ36,OUT045,3021.644325177039
99,NCU05,OUT013,1066.2614788172232
100,FDT39,OUT018,2948.583439567397
101,FDK60,OUT017,1184.4067956254355
102,FDZ25,OUT017,2457.866514135985
103,FDG12,OUT046,2366.4448697002204
104,DRB01,OUT019,1749.1958680805442
105,NCC43,OUT027,5283.275676338446
